"alert__week","alert__year","alert__count","confidence__cat"
6,2018,8,"h"
6,2018,1103,"n"
6,2018,8,"l"
5,2018,9,"h"
5,2018,880,"n"
5,2018,1,"l"
4,2018,18,"l"
4,2018,48,"h"
4,2018,1856,"n"
3,2018,1551,"n"
3,2018,37,"h"
3,2018,12,"l"
2,2018,1421,"n"
2,2018,12,"h"
2,2018,4,"l"
1,2018,11,"l"
1,2018,42,"h"
1,2018,2125,"n"
52,2017,13,"h"
52,2017,1627,"n"
52,2017,4,"l"
51,2017,756,"n"
51,2017,7,"h"
50,2017,6,"l"
50,2017,1436,"n"
50,2017,26,"h"
49,2017,7,"l"
49,2017,1493,"n"
49,2017,33,"h"
48,2017,1395,"n"
48,2017,2,"l"
48,2017,9,"h"
47,2017,8,"l"
47,2017,1517,"n"
47,2017,33,"h"
46,2017,15,"l"
46,2017,51,"h"
46,2017,1865,"n"
45,2017,24,"l"
45,2017,1659,"n"
45,2017,36,"h"
44,2017,72,"l"
44,2017,55,"h"
44,2017,2540,"n"
43,2017,2453,"n"
43,2017,44,"l"
43,2017,45,"h"
42,2017,2373,"n"
42,2017,59,"l"
42,2017,44,"h"
41,2017,128,"l"
41,2017,50,"h"
41,2017,2486,"n"
40,2017,67,"l"
40,2017,2000,"n"
40,2017,42,"h"
39,2017,178,"l"
39,2017,2027,"n"
39,2017,39,"h"
38,2017,1910,"n"
38,2017,197,"l"
38,2017,22,"h"
37,2017,2466,"n"
37,2017,93,"h"
37,2017,340,"l"
36,2017,32,"h"
36,2017,152,"l"
36,2017,1772,"n"
35,2017,56,"h"
35,2017,306,"l"
35,2017,1933,"n"
34,2017,335,"l"
34,2017,108,"h"
34,2017,2500,"n"
33,2017,222,"l"
33,2017,37,"h"
33,2017,1965,"n"
32,2017,2041,"n"
32,2017,312,"l"
32,2017,98,"h"
31,2017,929,"l"
31,2017,5702,"n"
31,2017,967,"h"
30,2017,377,"l"
30,2017,2712,"n"
30,2017,203,"h"
29,2017,2096,"n"
29,2017,245,"l"
29,2017,110,"h"
28,2017,442,"h"
28,2017,788,"l"
28,2017,3123,"n"
27,2017,317,"l"
27,2017,101,"h"
27,2017,2326,"n"
26,2017,232,"l"
26,2017,1823,"n"
26,2017,92,"h"
25,2017,176,"l"
25,2017,37,"h"
25,2017,1901,"n"
24,2017,1560,"n"
24,2017,52,"h"
24,2017,71,"l"
23,2017,166,"l"
23,2017,40,"h"
23,2017,1826,"n"
22,2017,67,"l"
22,2017,1307,"n"
22,2017,19,"h"
21,2017,1695,"n"
21,2017,152,"l"
21,2017,51,"h"
20,2017,110,"l"
20,2017,50,"h"
20,2017,1821,"n"
19,2017,1309,"n"
19,2017,25,"h"
19,2017,92,"l"
18,2017,39,"h"
18,2017,151,"l"
18,2017,1671,"n"
17,2017,126,"l"
17,2017,19,"h"
17,2017,1407,"n"
16,2017,57,"l"
16,2017,1348,"n"
16,2017,10,"h"
15,2017,120,"l"
15,2017,2133,"n"
15,2017,42,"h"
14,2017,105,"l"
14,2017,37,"h"
14,2017,1639,"n"
13,2017,42,"h"
13,2017,1923,"n"
13,2017,152,"l"
12,2017,35,"h"
12,2017,1524,"n"
12,2017,88,"l"
11,2017,27,"h"
11,2017,1576,"n"
11,2017,32,"l"
10,2017,26,"h"
10,2017,1943,"n"
10,2017,136,"l"
9,2017,1921,"n"
9,2017,26,"h"
9,2017,110,"l"
8,2017,16,"h"
8,2017,9,"l"
8,2017,1163,"n"
7,2017,21,"h"
7,2017,1648,"n"
7,2017,28,"l"
6,2017,27,"h"
6,2017,1694,"n"
6,2017,18,"l"
5,2017,39,"l"
5,2017,1807,"n"
5,2017,43,"h"
4,2017,30,"h"
4,2017,9,"l"
4,2017,1527,"n"
3,2017,32,"h"
3,2017,7,"l"
3,2017,1214,"n"
2,2017,6,"l"
2,2017,1297,"n"
2,2017,39,"h"
1,2017,1554,"n"
1,2017,5,"l"
1,2017,55,"h"
53,2016,784,"n"
53,2016,24,"h"
53,2016,5,"l"
52,2016,7,"l"
52,2016,1125,"n"
52,2016,19,"h"
51,2016,1258,"n"
51,2016,33,"h"
51,2016,4,"l"
50,2016,3,"l"
50,2016,24,"h"
50,2016,1218,"n"
49,2016,859,"n"
49,2016,4,"l"
49,2016,6,"h"
48,2016,34,"h"
48,2016,1275,"n"
48,2016,13,"l"
47,2016,1578,"n"
47,2016,52,"h"
47,2016,19,"l"
46,2016,1168,"n"
46,2016,18,"h"
45,2016,28,"h"
45,2016,16,"l"
45,2016,1407,"n"
44,2016,2166,"n"
44,2016,50,"l"
44,2016,55,"h"
43,2016,2332,"n"
43,2016,60,"h"
43,2016,77,"l"
42,2016,1677,"n"
42,2016,19,"h"
42,2016,96,"l"
41,2016,49,"h"
41,2016,124,"l"
41,2016,1958,"n"
40,2016,197,"l"
40,2016,1929,"n"
40,2016,27,"h"
39,2016,1206,"n"
39,2016,93,"l"
39,2016,13,"h"
38,2016,33,"h"
38,2016,2072,"n"
38,2016,194,"l"
37,2016,1934,"n"
37,2016,63,"h"
37,2016,223,"l"
36,2016,112,"h"
36,2016,295,"l"
36,2016,2649,"n"
35,2016,282,"l"
35,2016,2714,"n"
35,2016,155,"h"
34,2016,2561,"n"
34,2016,114,"h"
34,2016,296,"l"
33,2016,2649,"n"
33,2016,173,"h"
33,2016,366,"l"
32,2016,56,"h"
32,2016,214,"l"
32,2016,2267,"n"
31,2016,2579,"n"
31,2016,122,"h"
31,2016,314,"l"
30,2016,395,"l"
30,2016,2323,"n"
30,2016,153,"h"
29,2016,2457,"n"
29,2016,175,"h"
29,2016,359,"l"
28,2016,242,"l"
28,2016,2378,"n"
28,2016,99,"h"
27,2016,181,"l"
27,2016,49,"h"
27,2016,1650,"n"
26,2016,1531,"n"
26,2016,47,"h"
26,2016,216,"l"
25,2016,171,"l"
25,2016,2146,"n"
25,2016,93,"h"
24,2016,79,"h"
24,2016,192,"l"
24,2016,1887,"n"
23,2016,239,"l"
23,2016,1744,"n"
23,2016,64,"h"
22,2016,30,"h"
22,2016,1585,"n"
22,2016,202,"l"
21,2016,168,"l"
21,2016,1576,"n"
21,2016,53,"h"
20,2016,137,"l"
20,2016,20,"h"
20,2016,1635,"n"
19,2016,65,"h"
19,2016,140,"l"
19,2016,1803,"n"
18,2016,1562,"n"
18,2016,66,"h"
18,2016,123,"l"
17,2016,18,"h"
17,2016,1197,"n"
17,2016,124,"l"
16,2016,69,"h"
16,2016,244,"l"
16,2016,2056,"n"
15,2016,47,"h"
15,2016,212,"l"
15,2016,1970,"n"
14,2016,1526,"n"
14,2016,85,"l"
14,2016,20,"h"
13,2016,1378,"n"
13,2016,11,"h"
13,2016,112,"l"
12,2016,1609,"n"
12,2016,72,"l"
12,2016,44,"h"
11,2016,160,"l"
11,2016,1899,"n"
11,2016,42,"h"
10,2016,34,"l"
10,2016,8,"h"
10,2016,1377,"n"
9,2016,1868,"n"
9,2016,35,"h"
9,2016,109,"l"
8,2016,61,"l"
8,2016,28,"h"
8,2016,1515,"n"
7,2016,29,"l"
7,2016,50,"h"
7,2016,1599,"n"
6,2016,39,"h"
6,2016,31,"l"
6,2016,1868,"n"
5,2016,18,"l"
5,2016,1557,"n"
5,2016,50,"h"
4,2016,1335,"n"
4,2016,4,"l"
4,2016,19,"h"
3,2016,1359,"n"
3,2016,53,"h"
3,2016,12,"l"
2,2016,18,"l"
2,2016,1684,"n"
2,2016,40,"h"
1,2016,1137,"n"
1,2016,19,"h"
1,2016,9,"l"
53,2015,3,"h"
53,2015,682,"n"
52,2015,11,"l"
52,2015,37,"h"
52,2015,1426,"n"
51,2015,1610,"n"
51,2015,8,"l"
51,2015,29,"h"
50,2015,27,"h"
50,2015,6,"l"
50,2015,1427,"n"
49,2015,1763,"n"
49,2015,73,"h"
49,2015,21,"l"
48,2015,26,"h"
48,2015,1441,"n"
48,2015,6,"l"
47,2015,1637,"n"
47,2015,32,"h"
47,2015,11,"l"
46,2015,22,"l"
46,2015,1948,"n"
46,2015,77,"h"
45,2015,1502,"n"
45,2015,25,"l"
45,2015,22,"h"
44,2015,70,"l"
44,2015,1704,"n"
44,2015,29,"h"
43,2015,1300,"n"
43,2015,24,"l"
43,2015,30,"h"
42,2015,109,"l"
42,2015,1635,"n"
42,2015,32,"h"
41,2015,1585,"n"
41,2015,25,"h"
41,2015,149,"l"
40,2015,1790,"n"
40,2015,108,"l"
40,2015,43,"h"
39,2015,69,"h"
39,2015,1603,"n"
39,2015,62,"l"
38,2015,179,"l"
38,2015,1739,"n"
38,2015,60,"h"
37,2015,57,"h"
37,2015,1957,"n"
37,2015,129,"l"
36,2015,120,"l"
36,2015,49,"h"
36,2015,1771,"n"
35,2015,53,"h"
35,2015,1766,"n"
35,2015,131,"l"
34,2015,151,"l"
34,2015,83,"h"
34,2015,1786,"n"
33,2015,172,"l"
33,2015,120,"h"
33,2015,2175,"n"
32,2015,197,"h"
32,2015,326,"l"
32,2015,2273,"n"
31,2015,2060,"n"
31,2015,133,"h"
31,2015,358,"l"
30,2015,392,"l"
30,2015,2610,"n"
30,2015,207,"h"
29,2015,168,"l"
29,2015,63,"h"
29,2015,1845,"n"
28,2015,94,"h"
28,2015,2023,"n"
28,2015,243,"l"
27,2015,308,"l"
27,2015,125,"h"
27,2015,2110,"n"
26,2015,224,"l"
26,2015,1859,"n"
26,2015,66,"h"
25,2015,1511,"n"
25,2015,36,"h"
25,2015,140,"l"
24,2015,1705,"n"
24,2015,81,"h"
24,2015,209,"l"
23,2015,1863,"n"
23,2015,75,"h"
23,2015,128,"l"
22,2015,46,"h"
22,2015,104,"l"
22,2015,1487,"n"
21,2015,155,"l"
21,2015,1775,"n"
21,2015,49,"h"
20,2015,112,"h"
20,2015,266,"l"
20,2015,2207,"n"
19,2015,78,"h"
19,2015,244,"l"
19,2015,1739,"n"
18,2015,228,"l"
18,2015,29,"h"
18,2015,1787,"n"
17,2015,1763,"n"
17,2015,190,"l"
17,2015,38,"h"
16,2015,1642,"n"
16,2015,91,"l"
16,2015,39,"h"
15,2015,94,"l"
15,2015,31,"h"
15,2015,1788,"n"
14,2015,59,"h"
14,2015,182,"l"
14,2015,2088,"n"
13,2015,1336,"n"
13,2015,35,"l"
13,2015,31,"h"
12,2015,1455,"n"
12,2015,112,"l"
12,2015,30,"h"
11,2015,90,"l"
11,2015,1743,"n"
11,2015,45,"h"
10,2015,64,"h"
10,2015,1886,"n"
10,2015,48,"l"
9,2015,18,"h"
9,2015,9,"l"
9,2015,1204,"n"
8,2015,30,"h"
8,2015,18,"l"
8,2015,1052,"n"
7,2015,48,"h"
7,2015,7,"l"
7,2015,1376,"n"
6,2015,1511,"n"
6,2015,36,"h"
6,2015,14,"l"
5,2015,13,"l"
5,2015,31,"h"
5,2015,1508,"n"
4,2015,38,"h"
4,2015,9,"l"
4,2015,1201,"n"
3,2015,22,"h"
3,2015,12,"l"
3,2015,1115,"n"
2,2015,27,"h"
2,2015,11,"l"
2,2015,1300,"n"
1,2015,5,"l"
1,2015,33,"h"
1,2015,888,"n"
52,2014,1161,"n"
52,2014,24,"h"
52,2014,3,"l"
51,2014,16,"h"
51,2014,1309,"n"
51,2014,6,"l"
50,2014,1453,"n"
50,2014,9,"l"
50,2014,52,"h"
49,2014,1540,"n"
49,2014,9,"l"
49,2014,26,"h"
48,2014,1511,"n"
48,2014,23,"l"
48,2014,45,"h"
47,2014,1908,"n"
47,2014,49,"l"
47,2014,52,"h"
46,2014,39,"h"
46,2014,19,"l"
46,2014,1515,"n"
45,2014,9,"h"
45,2014,16,"l"
45,2014,1364,"n"
44,2014,2033,"n"
44,2014,55,"l"
44,2014,58,"h"
43,2014,2422,"n"
43,2014,141,"l"
43,2014,124,"h"
42,2014,21,"h"
42,2014,109,"l"
42,2014,1575,"n"
41,2014,41,"h"
41,2014,2151,"n"
41,2014,190,"l"
40,2014,39,"h"
40,2014,118,"l"
40,2014,1806,"n"
39,2014,1439,"n"
39,2014,27,"h"
39,2014,109,"l"
38,2014,44,"h"
38,2014,1706,"n"
38,2014,187,"l"
37,2014,291,"l"
37,2014,2701,"n"
37,2014,182,"h"
36,2014,151,"h"
36,2014,340,"l"
36,2014,2297,"n"
35,2014,3039,"n"
35,2014,382,"l"
35,2014,340,"h"
34,2014,2732,"n"
34,2014,370,"l"
34,2014,244,"h"
33,2014,2884,"n"
33,2014,395,"l"
33,2014,264,"h"
32,2014,3039,"n"
32,2014,282,"h"
32,2014,519,"l"
31,2014,188,"h"
31,2014,335,"l"
31,2014,2297,"n"
30,2014,183,"h"
30,2014,2360,"n"
30,2014,416,"l"
29,2014,2349,"n"
29,2014,345,"l"
29,2014,150,"h"
28,2014,1646,"n"
28,2014,181,"l"
28,2014,58,"h"
27,2014,1879,"n"
27,2014,306,"l"
27,2014,99,"h"
26,2014,60,"h"
26,2014,262,"l"
26,2014,1710,"n"
25,2014,211,"l"
25,2014,91,"h"
25,2014,1765,"n"
24,2014,192,"l"
24,2014,67,"h"
24,2014,1890,"n"
23,2014,81,"h"
23,2014,1753,"n"
23,2014,163,"l"
22,2014,156,"l"
22,2014,1653,"n"
22,2014,58,"h"
21,2014,46,"h"
21,2014,99,"l"
21,2014,1405,"n"
20,2014,82,"l"
20,2014,1349,"n"
20,2014,37,"h"
19,2014,1703,"n"
19,2014,126,"l"
19,2014,44,"h"
18,2014,2067,"n"
18,2014,196,"l"
18,2014,73,"h"
17,2014,1481,"n"
17,2014,88,"l"
17,2014,23,"h"
16,2014,125,"l"
16,2014,1842,"n"
16,2014,33,"h"
15,2014,234,"l"
15,2014,59,"h"
15,2014,1993,"n"
14,2014,109,"l"
14,2014,1863,"n"
14,2014,38,"h"
13,2014,78,"l"
13,2014,1678,"n"
13,2014,16,"h"
12,2014,1617,"n"
12,2014,42,"h"
12,2014,77,"l"
11,2014,42,"l"
11,2014,57,"h"
11,2014,1383,"n"
10,2014,30,"l"
10,2014,1548,"n"
10,2014,17,"h"
9,2014,32,"l"
9,2014,1253,"n"
9,2014,27,"h"
8,2014,1495,"n"
8,2014,35,"h"
8,2014,30,"l"
7,2014,1652,"n"
7,2014,24,"h"
7,2014,57,"l"
6,2014,1641,"n"
6,2014,27,"h"
6,2014,28,"l"
5,2014,1188,"n"
5,2014,9,"l"
5,2014,36,"h"
4,2014,1302,"n"
4,2014,3,"l"
4,2014,34,"h"
3,2014,24,"h"
3,2014,3,"l"
3,2014,1046,"n"
2,2014,48,"h"
2,2014,1314,"n"
2,2014,7,"l"
1,2014,14,"l"
1,2014,1617,"n"
1,2014,48,"h"
52,2013,1113,"n"
52,2013,20,"h"
52,2013,3,"l"
51,2013,18,"h"
51,2013,2,"l"
51,2013,833,"n"
50,2013,33,"h"
50,2013,1288,"n"
50,2013,6,"l"
49,2013,1089,"n"
49,2013,20,"h"
49,2013,10,"l"
48,2013,1049,"n"
48,2013,11,"h"
48,2013,6,"l"
47,2013,13,"l"
47,2013,1125,"n"
47,2013,41,"h"
46,2013,64,"h"
46,2013,1707,"n"
46,2013,38,"l"
45,2013,60,"h"
45,2013,39,"l"
45,2013,1917,"n"
44,2013,1962,"n"
44,2013,61,"h"
44,2013,50,"l"
43,2013,2586,"n"
43,2013,51,"h"
43,2013,242,"l"
42,2013,60,"h"
42,2013,1990,"n"
42,2013,135,"l"
41,2013,124,"l"
41,2013,1888,"n"
41,2013,64,"h"
40,2013,65,"h"
40,2013,223,"l"
40,2013,2047,"n"
39,2013,75,"h"
39,2013,2090,"n"
39,2013,224,"l"
38,2013,147,"l"
38,2013,2070,"n"
38,2013,93,"h"
37,2013,131,"l"
37,2013,1385,"n"
37,2013,32,"h"
36,2013,1633,"n"
36,2013,142,"l"
36,2013,64,"h"
35,2013,58,"h"
35,2013,128,"l"
35,2013,1669,"n"
34,2013,268,"l"
34,2013,2386,"n"
34,2013,120,"h"
33,2013,352,"l"
33,2013,2156,"n"
33,2013,129,"h"
32,2013,2550,"n"
32,2013,383,"l"
32,2013,170,"h"
31,2013,2197,"n"
31,2013,340,"l"
31,2013,139,"h"
30,2013,175,"l"
30,2013,1624,"n"
30,2013,66,"h"
29,2013,219,"l"
29,2013,1665,"n"
29,2013,67,"h"
28,2013,1794,"n"
28,2013,214,"l"
28,2013,92,"h"
27,2013,142,"l"
27,2013,54,"h"
27,2013,1639,"n"
26,2013,44,"h"
26,2013,1631,"n"
26,2013,138,"l"
25,2013,211,"l"
25,2013,81,"h"
25,2013,1925,"n"
24,2013,187,"l"
24,2013,1722,"n"
24,2013,62,"h"
23,2013,167,"l"
23,2013,43,"h"
23,2013,1527,"n"
22,2013,219,"l"
22,2013,2001,"n"
22,2013,64,"h"
21,2013,84,"l"
21,2013,19,"h"
21,2013,1274,"n"
20,2013,40,"h"
20,2013,108,"l"
20,2013,1125,"n"
19,2013,554,"l"
19,2013,1921,"n"
19,2013,156,"h"
18,2013,114,"l"
18,2013,35,"h"
18,2013,1258,"n"
17,2013,65,"l"
17,2013,1314,"n"
17,2013,29,"h"
16,2013,1387,"n"
16,2013,117,"l"
16,2013,26,"h"
15,2013,95,"l"
15,2013,33,"h"
15,2013,1368,"n"
14,2013,97,"l"
14,2013,39,"h"
14,2013,1701,"n"
13,2013,74,"l"
13,2013,1835,"n"
13,2013,38,"h"
12,2013,1941,"n"
12,2013,63,"h"
12,2013,146,"l"
11,2013,1284,"n"
11,2013,20,"h"
11,2013,37,"l"
10,2013,1566,"n"
10,2013,26,"h"
10,2013,86,"l"
9,2013,1581,"n"
9,2013,43,"h"
9,2013,66,"l"
8,2013,34,"l"
8,2013,11,"h"
8,2013,1214,"n"
7,2013,32,"h"
7,2013,1394,"n"
7,2013,19,"l"
6,2013,14,"l"
6,2013,1505,"n"
6,2013,56,"h"
5,2013,1593,"n"
5,2013,36,"h"
5,2013,25,"l"
4,2013,22,"h"
4,2013,1127,"n"
4,2013,3,"l"
3,2013,46,"h"
3,2013,19,"l"
3,2013,1394,"n"
2,2013,76,"h"
2,2013,1693,"n"
2,2013,27,"l"
1,2013,3,"l"
1,2013,33,"h"
1,2013,1135,"n"
52,2012,19,"l"
52,2012,1519,"n"
52,2012,66,"h"
51,2012,1715,"n"
51,2012,16,"l"
51,2012,58,"h"
50,2012,2,"l"
50,2012,1107,"n"
50,2012,15,"h"
49,2012,6,"l"
49,2012,956,"n"
49,2012,23,"h"
48,2012,1262,"n"
48,2012,9,"l"
48,2012,40,"h"
47,2012,53,"h"
47,2012,1353,"n"
47,2012,21,"l"
46,2012,1213,"n"
46,2012,33,"h"
46,2012,12,"l"
45,2012,1784,"n"
45,2012,55,"l"
45,2012,51,"h"
44,2012,6,"h"
44,2012,27,"l"
44,2012,1245,"n"
43,2012,73,"l"
43,2012,1598,"n"
43,2012,40,"h"
42,2012,1284,"n"
42,2012,74,"l"
42,2012,22,"h"
41,2012,1842,"n"
41,2012,76,"h"
41,2012,151,"l"
40,2012,1961,"n"
40,2012,80,"h"
40,2012,184,"l"
39,2012,206,"l"
39,2012,1798,"n"
39,2012,50,"h"
38,2012,247,"h"
38,2012,422,"l"
38,2012,3261,"n"
37,2012,272,"l"
37,2012,1927,"n"
37,2012,40,"h"
36,2012,1780,"n"
36,2012,163,"l"
36,2012,57,"h"
35,2012,247,"l"
35,2012,218,"h"
35,2012,2676,"n"
34,2012,672,"l"
34,2012,527,"h"
34,2012,4847,"n"
33,2012,7365,"n"
33,2012,976,"h"
33,2012,882,"l"
32,2012,875,"l"
32,2012,6237,"n"
32,2012,759,"h"
31,2012,485,"h"
31,2012,3599,"n"
31,2012,551,"l"
30,2012,144,"h"
30,2012,278,"l"
30,2012,2278,"n"
29,2012,405,"l"
29,2012,2557,"n"
29,2012,186,"h"
28,2012,200,"h"
28,2012,2084,"n"
28,2012,369,"l"
27,2012,48,"h"
27,2012,223,"l"
27,2012,1472,"n"
26,2012,184,"h"
26,2012,320,"l"
26,2012,2332,"n"
25,2012,146,"l"
25,2012,44,"h"
25,2012,1317,"n"
24,2012,55,"h"
24,2012,195,"l"
24,2012,1416,"n"
23,2012,236,"l"
23,2012,65,"h"
23,2012,1660,"n"
22,2012,1522,"n"
22,2012,126,"l"
22,2012,44,"h"
21,2012,1688,"n"
21,2012,46,"h"
21,2012,114,"l"
20,2012,44,"h"
20,2012,1456,"n"
20,2012,123,"l"
19,2012,138,"l"
19,2012,63,"h"
19,2012,1860,"n"
18,2012,24,"h"
18,2012,64,"l"
18,2012,1143,"n"
17,2012,120,"l"
17,2012,1562,"n"
17,2012,35,"h"
16,2012,1678,"n"
16,2012,129,"l"
16,2012,38,"h"
15,2012,27,"l"
15,2012,1052,"n"
15,2012,17,"h"
14,2012,1814,"n"
14,2012,35,"h"
14,2012,119,"l"
13,2012,21,"h"
13,2012,930,"n"
13,2012,43,"l"
12,2012,38,"l"
12,2012,19,"h"
12,2012,922,"n"
11,2012,47,"h"
11,2012,63,"l"
11,2012,1829,"n"
10,2012,32,"l"
10,2012,52,"h"
10,2012,1105,"n"
9,2012,42,"h"
9,2012,31,"l"
9,2012,1471,"n"
8,2012,26,"h"
8,2012,927,"n"
8,2012,19,"l"
7,2012,1070,"n"
7,2012,9,"l"
7,2012,30,"h"
6,2012,7,"l"
6,2012,18,"h"
6,2012,995,"n"
5,2012,3,"l"
5,2012,949,"n"
5,2012,22,"h"
4,2012,2,"l"
4,2012,1209,"n"
4,2012,14,"h"
3,2012,6,"h"
3,2012,337,"n"
3,2012,2,"l"
1,2012,162,"n"
